graph,KPBB,KPBB/RR,KPBB/StrongHeuris,KPBB/RefinedUB,KPLEX,kPlexS,DiseMKP
Network-Repository-soc-livejournal-user-groups-5,964.2943,961.1016,1199.9362,967.4602,3620,1742.6223,3620
Network-Repository-soc-livejournal-user-groups-8,980.5203,977.0542,1906.8151,973.5604,3620,2159.0926,3620
Network-Repository-soc-livejournal-user-groups-10,883.4516,877.3087,3620,874.6798,3620,3620,3620
Network-Repository-soc-livejournal-user-groups-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-livejournal-user-groups-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-LiveMocha-2,2.0488,1.9417,3.1175,2.0023,7.6892,31.1147,7.8201
Network-Repository-soc-LiveMocha-5,1.8792,1.9987,2.3975,2.081,58.8168,1645.3955,884.5302
Network-Repository-soc-LiveMocha-8,2.2194,3.1689,3.5944,3.1377,95.9001,2117.3094,3620
Network-Repository-soc-LiveMocha-10,2.1953,3.827,7.5456,4.7109,23.0804,289.6378,3620
Network-Repository-soc-LiveMocha-15,1.634,1.9303,3.8688,1.9445,2.0152,2.7036,3620
Network-Repository-soc-LiveMocha-20,62.3432,86.5965,3620,96.5287,311.2828,2451.5313,3620
Network-Repository-soc-sinaweibo-2,137.6344,139.933,209.9455,150.7627,514.3191,1491.715,3620
Network-Repository-soc-sinaweibo-5,623.1753,626.1541,2155.1969,2636.8472,3620,3620,3620
Network-Repository-soc-sinaweibo-8,2573.3548,3620,3620,3620,3620,3620,3620
Network-Repository-soc-sinaweibo-10,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-sinaweibo-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-sinaweibo-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-themarker-2,219.8965,198.1415,253.1256,235.5319,2505.6605,3620,2366.9779
Network-Repository-soc-themarker-5,55.5983,90.6594,105.0115,171.762,3620,3620,3620
Network-Repository-soc-themarker-8,379.5936,1708.1615,478.7929,1758.4601,3620,3620,3620
Network-Repository-soc-themarker-10,1230.79,3620,1729.7026,3620,3620,3620,3620
Network-Repository-soc-themarker-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-themarker-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-soc-wiki-conflict-2,5.8283,5.5239,6.3124,5.8472,39.6984,220.1945,100.2864
Network-Repository-soc-wiki-conflict-5,1.8747,2.1557,2.189,4.2199,3022.099,3620,3620
Network-Repository-soc-wiki-conflict-8,1.7068,1.948,1.5842,2.7985,933.0452,3620,3620
Network-Repository-soc-wiki-conflict-10,2.2921,4.3114,5.7072,6.9867,314.9564,3620,3620
Network-Repository-soc-wiki-conflict-15,8.6877,16.5303,6.0273,24.5006,14.37,324.1492,3620
Network-Repository-soc-wiki-conflict-20,427.2648,881.3548,529.0878,1291.4007,41.7169,1815.0036,3620
Network-Repository-soc-wiki-Talk-dir-2,11.0236,10.5984,16.0488,12.1445,118.7625,945.4726,328.2592
Network-Repository-soc-wiki-Talk-dir-5,3.1378,3.224,3.3613,4.0501,961.0597,3620,3620
Network-Repository-soc-wiki-Talk-dir-8,5.6693,17.1707,11.5955,10.9597,3620,3620,3620
Network-Repository-soc-wiki-Talk-dir-10,25.5829,109.7099,64.6497,91.3636,3620,3620,3620
Network-Repository-soc-wiki-Talk-dir-15,1349.3483,3620,3620,3620,3620,3620,3620
Network-Repository-soc-wiki-Talk-dir-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-socfb-UIllinois-2,0.6774,0.6835,0.8348,0.6719,1.4531,1.6022,13.2292
Network-Repository-socfb-UIllinois-5,0.369,0.373,0.7851,0.4787,1.2985,1.3735,432.8319
Network-Repository-socfb-UIllinois-8,0.5875,0.5867,0.7959,0.5853,1.346,1.4711,3620
Network-Repository-socfb-UIllinois-10,0.6223,0.6171,0.7629,0.617,1.1216,1.1438,3620
Network-Repository-socfb-UIllinois-15,0.5867,0.584,0.6072,0.5805,1.0846,1.1407,3620
Network-Repository-socfb-UIllinois-20,0.3687,0.3651,0.717,0.3647,1.0835,0.9951,3620
Network-Repository-tech-ip-2,7.9285,7.9063,8.1259,7.819,10.1228,10.1244,937.2307
Network-Repository-tech-ip-5,12.366,12.0324,113.3711,12.3251,136.6128,11.8731,3620
Network-Repository-tech-ip-8,12.4138,12.9993,114.9288,12.7305,142.796,11.7723,3620
Network-Repository-tech-ip-10,13.0706,12.6359,113.0509,12.2072,163.8306,11.9979,3620
Network-Repository-tech-ip-15,12.3408,12.0039,113.2236,12.1876,132.5017,11.6323,3620
Network-Repository-tech-ip-20,12.0631,12.1696,112.7961,11.8477,130.413,24.2534,3620
Network-Repository-web-wikipedia-growth-2,217.5258,201.4807,215.6604,369.2019,3620,3620,2071.2947
Network-Repository-web-wikipedia-growth-5,144.7057,146.287,140.9771,3620,3620,3620,3620
Network-Repository-web-wikipedia-growth-8,3620,3620,3620,3620,3620,3620,3620
Network-Repository-web-wikipedia-growth-10,3620,3620,3620,3620,3620,3620,3620
Network-Repository-web-wikipedia-growth-15,3620,3620,3620,3620,3620,3620,3620
Network-Repository-web-wikipedia-growth-20,3620,3620,3620,3620,3620,3620,3620
Network-Repository-web-wikipedia_link_it-2,11.2438,11.247,10.2634,22.7913,41.7786,111.159,225.0356
Network-Repository-web-wikipedia_link_it-5,4.8066,4.5184,3.8946,4.657,700.6611,38.2757,7.803
Network-Repository-web-wikipedia_link_it-8,0.9344,1.0567,1.0873,0.9623,4.1145,4.084,3.8933
Network-Repository-web-wikipedia_link_it-10,1.0274,1.0452,1.0224,1.0802,3.6114,4.0295,3.9614
Network-Repository-web-wikipedia_link_it-15,1.0661,0.965,0.9126,1.0551,3.6324,3.8296,3.5812
Network-Repository-web-wikipedia_link_it-20,1.0322,1.0224,0.9806,1.0711,3.7969,3.7504,2.5032
